InstigatedByNames,DamagedActorName,DamagedActorHost
DID,PlayerPawn_C_2147480526,DID
DID,barier_12,DID
DID,barier_12,DID
DID,PlayerPawn_C_2147480526,DID
DID,PlayerPawn_C_2147480526,DID
DID,wing_wall_5,DID
THYLACINE-MAMMA,PlayerPawn_C_2147480580,DID
DID,wing_wall_5,DID
PANDA_MAMMAL,ProjRocket_C_2147480362,DID
DID,PlayerPawn_C_2147480723,DID
DID,ProjRocket_C_2147480347,DID
DID,PlayerPawn_C_2147480488,DID
DID,PlayerPawn_C_2147480323,DID
PANDA_MAMMAL,PlayerPawn_C_2147480323,DID
DID,Floor_4,DID
PANDA_MAMMAL,PlayerPawn_C_2147480371,DID
DID,MainHall_Arc_02_132,DID
DID,PlayerPawn_C_2147480488,DID
DID,PlayerPawn_C_2147480323,DID
THYLACINE-MAMMA,bal_r2_20,DID
DID,MainHall_Arc_02_141,DID
DID,PlayerPawn_C_2147480526,DID
DID,MainHall_WallGrass_01_123,DID
DID,MainHall_WallGrass_01_123,DID
DID,PlayerPawn_C_2147480526,DID
DID,MainHall_WallGrass_01_123,DID
DID,PlayerPawn_C_2147480526,DID
DID,MainHall_Arc_02_132,DID
DID,MainHall_Arc_02_141,DID
DID,MainHall_WallGrass_01_123,DID
DID,PlayerPawn_C_2147480526,DID
PANDA_MAMMAL,PlayerPawn_C_2147480488,DID
PANDA_MAMMAL,ProjRocket_C_2147480184,DID
DID,PlayerPawn_C_2147480243,DID
DID,ProjRocket_C_2147480156,DID
PANDA_MAMMAL,PlayerPawn_C_2147480488,DID
DID,ProjRocket_C_2147480161,DID
DID,PlayerPawn_C_2147480190,DID
DID,barier_5,DID
DID,Floor_1,DID
PANDA_MAMMAL,PlayerPawn_C_2147480271,DID
THYLACINE-MAMMA,PlayerPawn_C_2147480079,DID
DID,bal_r2_3,DID
THYLACINE-MAMMA,barier_9,DID
DID,PlayerPawn_C_2147480079,DID
DID,PlayerPawn_C_2147480138,DID
THYLACINE-MAMMA,bridge_trim_18,DID
THYLACINE-MAMMA,Floor_7,DID
THYLACINE-MAMMA,wing_wall_2_glass_11,DID
THYLACINE-MAMMA,wing_wall_2_glass_11,DID
THYLACINE-MAMMA,barier_9,DID
DID,unreal_holo_38,DID
DID,PlayerPawn_C_2147480079,DID
DID,PlayerPawn_C_2147480079,DID
DID,spawn_point_interior_6,DID
DID,ProjRocket_C_2147479954,DID
DID,bal_r2_3,DID
DID,bal_r2_3,DID
DID,wing_wall_4_glass_15,DID
DID,wing_wall_4_glass_15,DID
DID,PlayerPawn_C_2147480138,DID
PANDA_MAMMAL,lvl_Trshcan_01_145,DID
DID,spawn_point_1_glass_5,DID
DID,PlayerPawn_C_2147479880,DID
DID,spawn_point_interior_6,DID
DID,spawn_point_interior_6,DID
DID,spawn_point_interior_6,DID
DID,PlayerPawn_C_2147479880,DID
DID,spawn_point_4,DID
DID,lvl_Trshcan_01_137,DID
DID,PlayerPawn_C_2147479895,DID
THYLACINE-MAMMA,PlayerPawn_C_2147480072,DID
THYLACINE-MAMMA,PlayerPawn_C_2147479895,DID
DID,hi_bottom_main_10,DID
DID,spawn_point_interior_6,DID
DID,spawn_point_4,DID
DID,spawn_point_1_glass_5,DID
DID,upper_p1_13,DID
THYLACINE-MAMMA,PlayerPawn_C_2147480132,DID
THYLACINE-MAMMA,ProjRocket_C_2147479747,DID
DID,bal_r2_3,DID
DID,bal_r2_3,DID
DID,bal_r2_3,DID
DID,bal_r2_3,DID
DID,main_left_8,DID
DID,PlayerPawn_C_2147479895,DID
DID,PlayerPawn_C_2147479895,DID
DID,PlayerPawn_C_2147479895,DID
DID,main_left_8,DID
DID,main_left_8,DID
DID,glass_front_masked_4,DID
DID,glass_front_masked_4,DID
DID,glass_front_masked_4,DID
DID,PlayerPawn_C_2147479880,DID
DID,PlayerPawn_C_2147479880,DID
DID,glass_front_masked_4,DID
DID,lvl_Trshcan_01_137,DID
DID,PlayerPawn_C_2147479678,DID
DID,bal_r2_3,DID
DID,bal_r2_3,DID
DID,PlayerPawn_C_2147479678,DID
DID,PlayerPawn_C_2147479678,DID
DID,PlayerPawn_C_2147479678,DID
DID,bal_r2_3,DID
DID,PlayerPawn_C_2147479649,DID
DID,lvl_Trshcan_01_137,DID
THYLACINE-MAMMA,PlayerPawn_C_2147479529,DID
THYLACINE-MAMMA,PlayerPawn_C_2147479720,DID
DID,lvl_Trshcan_01_137,DID
THYLACINE-MAMMA,bal_r2_20,DID
