Subject_id,Computer_name,Block_type,Date,Session_id,Match_start,Match_end,Total_damage_deal,Gun_damage_deal,Rocket_damage_deal,Total_damage_taken,Gun_damage_taken,Rocket_damage_taken,Total_engage,Gun_engage,Rocket_engage,Total_shot_all,Gun_shot_all,Rocket_shot_all,Total_shot_hit,Gun_shot_hit,Rocket_shot_hit,Damager_per_Second_all,Shot_per_Second_all,Damager_per_Second_Hit_only,Shot_per_Second_Hit_only,Gun_kill,Rocket_kill,Total_kill,Death_by_gun,Death_by_rocket,Total_Death,Self_kill,Total_key_pressed,W_key,A_key,S_key,D_key,R_key,Q_key,MouseScrollDown,MouseScrollUp,SpaceBar,LeftMouseButton,RightMouseButton,Tab_key,Percent_of_Null_in_Pupil,Percent_of_Null_in_Gaze,Pupil_Average_mean,Pupil_Average_std,Pupil_Average_min,Pupil_Average_25th,Pupil_Average_50th,Pupil_Average_75th,Pupil_Average_max,Pupil_difference_mean,Pupil_difference_std,Pupil_difference_min,Pupil_difference_25th,Pupil_difference_50th,Pupil_difference_75th,Pupil_difference_max,Gaze_velocity_mean,Gaze_velocity_std,Gaze_velocity_min,Gaze_velocity_25th,Gaze_velocity_50th,Gaze_velocity_75th,Gaze_velocity_max,Heart_rate_min,Heart_rate_mean,Heart_rate_max,Heart_rate_variability,ECG_signal_to_noise
UYGH,reptile_komodo,block_04,2024-03-13,01c80c4d-46c8-45f5-d583-0281844f2f5d,2024-03-13 17:12:52.499283-04:00,2024-03-13 17:23:11.285143-04:00,670.947341,315.0,355.947341,1189.631137,540.0,649.631137,29.0,14.0,15.0,120.0,86.0,34.0,28.0,21.0,7.0,5.083393521629599,0.19392815472544897,1.0842964979839715,0.045249902769271426,3.0,1.0,4.0,6.0,5.0,11.0,0.0,944.0,91.0,204.0,21.0,113.0,3.0,77.0,0.0,0.0,262.0,119.0,40.0,12.0,0.05620567820181923,0.06201919462750896,4.6138283403149964,0.3304191313127836,1.8404693603515625,4.396503448486328,4.611873626708984,4.844844818115234,5.542083740234376,0.06062387750325118,0.06371535715621773,0.0,0.0222320556640625,0.047615051269530806,0.082275390625,2.3667144775390625,0.7781481542237149,2.0867002854477943,0.0008261684725512591,0.20050417350468586,0.35647181178277504,0.6227034420167714,195.30779102779076,81.08108003614942,95.24031555105499,110.29418416093264,15.855426815182273,8.650342107758654
VBNM,reptile_komodo,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10938374746996253,0.130657594418845,3.1975775413420298,0.37696556648349566,1.293548583984375,2.9022655487060547,3.1443099975585938,3.4933395385742188,4.898651123046875,0.4911301252568566,0.17978173242670767,0.003143310546875,0.3486328125000001,0.4648590087890625,0.6232414245605471,1.776992797851563,1.2796955271990738,29.99074585588045,0.006634877091335303,0.34119631366663117,0.6217483398434692,1.0972188548195545,4152.378394592907,64.10255665688284,85.81526781872127,98.68416532752344,25.736431987291397,3.3226532629688443
VBNM,reptile_komodo,block_01,2024-03-06,85a5023a-4976-0721-23b2-028c85a483dd,2024-03-06 13:26:26.617466-05:00,2024-03-06 13:36:42.000566-05:00,645.424416,555.0,90.424416,305.181516,195.0,110.18151599999999,22.0,20.0,2.0,124.0,121.0,3.0,38.0,37.0,1.0,3.3985321111353235,0.20150049619497187,1.0488172587124995,0.061750152059749444,5.0,1.0,6.0,1.0,1.0,2.0,0.0,1469.0,254.0,384.0,125.0,380.0,31.0,0.0,18.0,11.0,62.0,120.0,50.0,6.0,0.058091636153401426,0.061572557332819425,4.122601361317416,0.341637497867042,1.54022216796875,3.8934402465820312,4.108001708984375,4.3455810546875,5.355514526367188,0.35759540421421304,0.1514760702757214,1.525878906338818e-05,0.250335693359375,0.35189819335937544,0.46016693115234397,1.6467742919921875,0.8175890113468202,2.0014822367754257,0.0024402716114992986,0.19513428857911816,0.3395772181756438,0.599776450515168,144.5181852924243,90.3614086654346,110.30202581951923,129.31034854844702,16.698292413349943,1.2117012565774703
VBNM,reptile_komodo,block_02,2024-03-06,32143347-4542-7282-6c5b-b7b56e6a33c5,2024-03-06 13:42:57.110688-05:00,2024-03-06 13:53:13.359943-05:00,1010.4316658,510.0,500.43166579999996,368.848155,120.0,248.848155,28.0,18.0,10.0,152.0,136.0,16.0,44.0,34.0,10.0,4.682853136755517,0.2466534422017273,1.6396476873631274,0.07139968063734212,3.0,1.0,4.0,0.0,1.0,1.0,0.0,1462.0,269.0,365.0,104.0,325.0,48.0,0.0,26.0,18.0,118.0,141.0,41.0,5.0,0.08650719632999773,0.08721296599702569,3.899374278098325,0.33538997721356534,1.5247650146484375,3.6630287170410156,3.8764724731445312,4.132265090942383,4.9176483154296875,0.16906629490553088,0.11257598945307946,1.52587890625e-05,0.08270645141601607,0.15481567382812544,0.238555908203125,1.3860321044921875,0.9001501986576342,3.5807733229998755,0.0010089682195066913,0.22741247544923043,0.39267396106409047,0.6887007167960202,375.7983237275612,88.75738092299011,101.08645907314704,112.78199168313265,12.642084254803196,4.623572166946795
VBNM,reptile_komodo,block_03,2024-03-06,dd256e2a-4e9a-fe7f-54b8-66bfb1d5fa7e,2024-03-06 13:57:21.312206-05:00,2024-03-06 14:07:37.711329-05:00,1672.9089880000001,1245.0,427.908988,437.938624,270.0,167.938624,31.0,29.0,2.0,220.0,212.0,8.0,88.0,83.0,5.0,5.912155252368845,0.35691160449623155,2.7140028685602138,0.14276464179849263,13.0,0.0,13.0,0.0,0.0,0.0,0.0,1223.0,173.0,269.0,67.0,301.0,52.0,0.0,24.0,10.0,103.0,165.0,40.0,11.0,0.0894286843926065,0.08463477315409706,3.9543543806347854,0.39171137909407483,1.2471466064453125,3.7187671661376953,3.9528007507324223,4.199535369873047,5.2645263671875,0.11552127465836394,0.09745493129182327,0.0,0.04310607910156239,0.09344482421875,0.1646614074707038,2.007354736328125,0.8895013656506873,2.6431420387318574,0.000986201871288772,0.22041343498035304,0.38230084921347846,0.6769328340429934,305.88310221841687,94.93671344499774,106.3100680897532,117.18753536116468,9.57153096707866,3.502207422840436
VBNM,reptile_komodo,block_04,2024-03-06,0f012d24-4034-4c67-7810-53878af71db6,2024-03-06 14:13:40.557008-05:00,2024-03-06 14:23:56.074452-05:00,867.069185,615.0,252.069185,535.165135,180.0,355.1651350000001,20.0,18.0,2.0,135.0,130.0,5.0,44.0,41.0,3.0,3.754381053739884,0.21932765889247488,1.4086833662507865,0.07148457030569552,2.0,0.0,2.0,0.0,2.0,2.0,0.0,1094.0,187.0,308.0,62.0,240.0,26.0,0.0,45.0,8.0,81.0,100.0,29.0,4.0,0.09406475271896114,0.09190465425865924,3.943289779450405,0.44830480308502824,1.552825927734375,3.619760513305664,3.906810760498047,4.231742858886719,5.6028900146484375,0.09383861267230643,0.08123539871194997,0.0,0.034912109375,0.0757904052734375,0.13306808471679688,1.6040496826171875,0.9286821001635532,2.1129041119636187,0.0009861470678785198,0.23876503711348043,0.4205177415972563,0.7308109482680495,94.51801060628513,86.70518343239301,101.3942036193738,118.11026016728728,11.315662280476568,3.218063375459068
VFTY,mammal_thylacine,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05536254900987642,0.05404734726289146,3.9656253213341146,0.46959501950002813,1.890899658203125,3.6174964904785156,3.8914337158203125,4.257511138916016,5.2979583740234375,0.11915676062897111,0.06607287684068489,0.0002593994140616118,0.0796966552734375,0.108184814453125,0.14572525024414062,1.497161865234375,0.566987569560811,1.4126409233639572,0.0016732403046168663,0.1289973352517939,0.2257904339950798,0.3942057860843206,23.95206242823801,73.89162231797462,87.0946188703949,100.6711886211879,26.70575718093308,7.059249253728987
VFTY,mammal_thylacine,block_01,2024-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08797453147525228,0.06886112445939452,4.3034153303200355,0.4296857591597886,2.123321533203125,4.020986557006836,4.298786163330078,4.576761245727539,6.3521270751953125,0.08460302063514809,0.06203629265078389,0.0,0.03802490234375,0.075927734375,0.12130737304687411,1.7583465576171884,0.6193528480496286,1.4695311781938243,0.000885674978173043,0.15961646025196735,0.2749542046440721,0.47104390853405703,39.656607440524716,75.75757046668326,91.00621280509752,107.14286809065015,23.892499738937342,7.018683253202537
VFTY,mammal_thylacine,block_02,2024-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0789057147582036,0.07888209029270712,4.227680416859316,0.3565989637779672,1.4178466796875,3.984142303466797,4.204681396484376,4.432704925537109,6.780288696289063,0.06580296671475863,0.053644223530133664,0.0,0.026466369628905806,0.05584716796875,0.09451293945312544,1.63909912109375,0.5609403452617752,1.6285630215455194,0.0011987804000846943,0.14428315057339783,0.24661214279867705,0.4232896059931239,176.7731122847101,75.3768840608794,89.73646473368703,104.89514372018985,23.052949101762604,6.84608056849285
VFTY,mammal_thylacine,block_03,2024-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05429480381760339,0.06376811594202898,4.059803420669727,0.31091446309318427,1.1875,3.843505859375,4.0365447998046875,4.251060485839844,6.3236846923828125,0.08467987571901957,0.06049225815140655,0.0,0.042724609375,0.0794677734375,0.11708068847656339,1.94000244140625,0.5747324599596602,1.4156675517952784,0.0017897885875993228,0.14315590734152722,0.24639295860190588,0.4218318713521407,47.62484767987259,74.62685274778848,88.141356023477,102.73970656557286,23.699792329179083,6.903395741741959
VFTY,mammal_thylacine,block_04,2024-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056661817661507644,0.05971430615505688,4.000923603076308,0.36828196697519944,2.181625366210937,3.7439136505126953,3.9524803161621094,4.199533462524414,5.916229248046875,0.06317938744856744,0.04911110999054361,0.0,0.028656005859375,0.056488037109375666,0.088958740234375,1.811660766601563,0.5792312749042978,2.0672618257830258,0.00011229110359926201,0.15063805064255575,0.2597652590128882,0.4487535686471164,229.86574043455906,74.25743959053372,88.92769502593318,104.89518744216677,24.02359835553092,6.819682747129994
VNPL,reptile_komodo,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029109981219366955,0.028262562411250056,4.720432017765947,0.38437132784697986,1.54608154296875,4.454231262207031,4.71759033203125,4.9778594970703125,5.812652587890625,0.3787908426000114,0.12145543976097428,0.0092620849609375,0.2964210510253906,0.370025634765625,0.4584159851074212,1.836273193359375,0.36527109529768154,1.0582214578246831,0.0005398952964577851,0.08953796980099027,0.15509667941803884,0.26502569094582423,23.370629181978455,70.75471284339443,82.92254319909772,96.15383498532427,22.505599523720164,6.646193046915209
VNPL,reptile_komodo,block_01,2024-02-21,ab54cf6b-4602-187d-4dbf-308f2571bdbb,2024-02-21 11:04:33.933170-05:00,2024-02-21 11:14:51.559857-05:00,495.0,495.0,0.0,543.707094,420.0,123.70709400000001,22.0,19.0,3.0,148.0,142.0,6.0,33.0,33.0,0.0,3.9902037102227745,0.23962695122336902,0.8014550057808626,0.053430333718724174,7.0,0.0,7.0,5.0,1.0,6.0,0.0,956.0,167.0,269.0,30.0,204.0,7.0,6.0,21.0,0.0,29.0,84.0,70.0,15.0,0.09951097328244275,0.09556297709923664,4.775822453904027,0.3019268209021758,1.9473114013671875,4.5800018310546875,4.765602111816406,4.975421905517578,5.7137451171875,0.23219908038191547,0.07755154062458884,7.629394531161182e-05,0.186370849609375,0.2328109741210942,0.27777099609375,2.2144622802734375,0.49003443563026344,1.2552071123623483,0.0007355295154649421,0.12745828246618945,0.21354828935793777,0.34843019979336876,26.40532998900233,67.26455903264089,81.6254718661999,96.15383498532427,30.937139093298583,6.5020214705338075
VNPL,reptile_komodo,block_02,2024-02-21,69d133a0-4a25-7ea2-81fb-2883be8d8185,2024-02-21 11:20:37.724183-05:00,2024-02-21 11:30:54.977712-05:00,724.53076,585.0,139.53076,386.35541054,75.0,311.35541054000004,31.0,24.0,7.0,185.0,177.0,8.0,41.0,39.0,2.0,4.734534956380946,0.2997147708490461,1.1737976794945146,0.06642327353951832,2.0,1.0,3.0,0.0,2.0,2.0,0.0,972.0,149.0,303.0,41.0,231.0,12.0,8.0,11.0,0.0,20.0,73.0,75.0,11.0,0.048553815863491466,0.05149540596287268,4.729452477640527,0.3228770098356462,1.54022216796875,4.5465850830078125,4.737831115722656,4.940773010253906,6.2734375,0.23275973597370772,0.0847585610252561,0.0001220703125,0.18255615234374978,0.2308807373046875,0.2810859680175788,2.062240600585938,0.446898473818092,1.1420199391959667,0.0014361483202272633,0.11564727262325077,0.1964986283302603,0.32760701815976395,31.07598372924735,64.65515766324154,78.60063569308683,92.0245468766798,33.931732829516115,6.605672880449552
VNPL,reptile_komodo,block_03,2024-02-21,3ff660ba-4d88-cf89-379c-6fa45712769a,2024-02-21 11:34:24.978245-05:00,2024-02-21 11:44:41.321190-05:00,809.19778,630.0,179.19778,443.33307,345.0,98.33307,21.0,14.0,7.0,157.0,146.0,11.0,45.0,42.0,3.0,4.075507484554723,0.2547283152563708,1.3129018293541106,0.07301130055118908,1.0,0.0,1.0,0.0,0.0,0.0,0.0,828.0,172.0,237.0,22.0,171.0,9.0,14.0,13.0,0.0,31.0,66.0,46.0,16.0,0.038579058183125355,0.033867406152108044,4.584460959250097,0.27687535742430863,1.7148895263671875,4.405683517456055,4.570384979248047,4.757345199584961,5.654708862304688,0.2769491793221861,0.08395740909993003,0.0001983642578120559,0.2289276123046884,0.275634765625,0.3214721679687491,2.045166015625,0.49429569972340054,1.2354490293139726,0.00048324683927826586,0.12373464324703438,0.20886113378514315,0.35530257234558527,23.056257595467777,58.59374039573753,74.84232816065747,91.46342872864363,41.824774378871176,6.626621849839948
VNPL,reptile_komodo,block_04,2024-02-21,87069e81-4953-3251-444b-88a144ec20b5,2024-02-21 11:48:22.906621-05:00,2024-02-21 11:58:38.671666-05:00,687.002605,525.0,162.002605,1172.1452355,690.0,482.1452355,24.0,19.0,5.0,127.0,120.0,7.0,37.0,35.0,2.0,3.51734783889852,0.20624749818333712,1.1156895159581526,0.06008785380144467,5.0,0.0,5.0,7.0,3.0,10.0,0.0,823.0,139.0,265.0,26.0,119.0,6.0,17.0,31.0,0.0,48.0,63.0,47.0,33.0,0.05511182108626198,0.05222413369378225,4.476768236547696,0.2770435666253338,1.50115966796875,4.297130584716797,4.473415374755859,4.653993606567383,5.8448333740234375,0.23311628738160567,0.0929541215851429,0.0005950927734375,0.1768188476562491,0.2296905517578125,0.281219482421875,2.355621337890625,0.5992564408614555,1.472797383265184,0.00048107840468894156,0.15242717732473693,0.2636300315409324,0.447745120968422,35.962340739512726,53.95683508766814,73.94683753239077,96.15387172389288,46.54301709322284,6.98476351520557
WERT,reptile_komodo,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24892616076907342,0.17293925138065044,4.3768465127024605,0.36637268015328844,1.285369873046875,4.1822052001953125,4.423484802246094,4.623741149902344,5.219894409179688,0.19222923117662455,0.19961107080683405,0.0,0.063873291015625,0.133453369140625,0.227203369140625,1.912445068359375,0.9191018071837224,2.701534726750186,0.003779790353609741,0.2877217098767025,0.5358717559988614,0.9573318367209114,260.28665252500815,89.8203615896238,104.23436871086322,118.11026016728728,11.975731529039937,6.200594643378915
WERT,reptile_komodo,block_01,2024-02-29,c5bb93cd-4cce-11d8-6d58-2e9e469acb71,2024-02-29 13:58:29.569453-05:00,2024-02-29 14:09:14.265674-05:00,450.0,450.0,0.0,783.060448,525.0,258.060448,16.0,15.0,1.0,141.0,140.0,1.0,30.0,30.0,0.0,3.32760762684849,0.21870765704395217,0.6980031607785707,0.04653354405190471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.0,95.0,107.0,49.0,226.0,6.0,2.0,5.0,0.0,46.0,38.0,50.0,1.0,0.025141352148069396,0.022471367128980815,4.392740266293089,0.3810658688044193,1.547637939453125,4.146039962768555,4.365547180175781,4.63416862487793,5.620864868164063,0.23743121489410882,0.0785694855456839,0.0001068115234375,0.1858825683593741,0.23272705078125,0.284698486328125,1.305084228515625,0.7261757483232508,1.8411578240949953,0.001336541444814859,0.18224561846116227,0.31950766967355587,0.5477875724053362,81.36092046763108,103.44820442159282,123.24342300822356,141.50950525870678,11.105774157564717,6.105447443490313
