Subject_id,Computer_name,Block_type,Date,Session_id,Match_start,Match_end,screenshot_kill,screenshot_death,Total_kill,Total_Death,Self_kill,Different,
QXZW,mammal_thylacine,block_04,2/29/2024,0538e108-4c09-5ff7-ab2b-959e4a36ad6b,2024-02-29 14:44:56.836748-05:00,2024-02-29 14:55:13.438114-05:00,11,5,1,2,0,,
WERT,reptile_komodo,block_04,2/29/2024,0538e108-4c09-5ff7-ab2b-959e4a36ad6b,2024-02-29 14:44:56.836748-05:00,2024-02-29 14:55:13.438114-05:00,1,12,0,1,0,,
ZXCV,mammal_panda,block_04,2/29/2024,0538e108-4c09-5ff7-ab2b-959e4a36ad6b,2024-02-29 14:44:56.836748-05:00,2024-02-29 14:55:13.438114-05:00,12,11,3,0,0,,
DKLQ,reptile_komodo,block_01,3/5/2024,d682ff1b-4c8a-9dae-d9d5-4582be12e778,2024-03-05 13:58:16.141846-05:00,2024-03-05 14:08:31.532598-05:00,6,9,4,8,0,77%,
QAXY,mammal_thylacine,block_01,3/5/2024,d682ff1b-4c8a-9dae-d9d5-4582be12e778,2024-03-05 13:58:16.141846-05:00,2024-03-05 14:08:31.532598-05:00,9,6,8,4,0,,
RQWE,reptile_gila,block_01,3/5/2024,d682ff1b-4c8a-9dae-d9d5-4582be12e778,2024-03-05 13:58:16.141846-05:00,2024-03-05 14:08:31.532598-05:00,7,9,4,8,0,,
TYDF,mammal_panda,block_01,3/5/2024,d682ff1b-4c8a-9dae-d9d5-4582be12e778,2024-03-05 13:58:16.141846-05:00,2024-03-05 14:08:31.532598-05:00,9,7,8,4,0,,
DKLQ,reptile_komodo,block_02,3/5/2024,a8c25021-42f3-e12a-9934-d48ca28b88aa,2024-03-05 14:12:58.312074-05:00,2024-03-05 14:23:18.954013-05:00,7,16,5,13,0,77%,
QAXY,mammal_thylacine,block_02,3/5/2024,a8c25021-42f3-e12a-9934-d48ca28b88aa,2024-03-05 14:12:58.312074-05:00,2024-03-05 14:23:18.954013-05:00,15,8,11,4,0,,
RQWE,reptile_gila,block_02,3/5/2024,a8c25021-42f3-e12a-9934-d48ca28b88aa,2024-03-05 14:12:58.312074-05:00,2024-03-05 14:23:18.954013-05:00,10,12,7,10,0,,
TYDF,mammal_panda,block_02,3/5/2024,a8c25021-42f3-e12a-9934-d48ca28b88aa,2024-03-05 14:12:58.312074-05:00,2024-03-05 14:23:18.954013-05:00,13,10,12,8,0,,
DKLQ,reptile_komodo,block_03,3/5/2024,4ca89552-4100-084d-279e-7db3ac4df894,2024-03-05 14:29:03.133666-05:00,2024-03-05 14:39:18.350255-05:00,9,13,5,11,0,83%,
QAXY,mammal_thylacine,block_03,3/5/2024,4ca89552-4100-084d-279e-7db3ac4df894,2024-03-05 14:29:03.133666-05:00,2024-03-05 14:39:18.350255-05:00,14,7,13,6,0,,
RQWE,reptile_gila,block_03,3/5/2024,4ca89552-4100-084d-279e-7db3ac4df894,2024-03-05 14:29:03.133666-05:00,2024-03-05 14:39:18.350255-05:00,6,12,5,12,0,,
TYDF,mammal_panda,block_03,3/5/2024,4ca89552-4100-084d-279e-7db3ac4df894,2024-03-05 14:29:03.133666-05:00,2024-03-05 14:39:18.350255-05:00,11,8,10,4,0,,
DKLQ,reptile_komodo,block_04,3/5/2024,f74ac41e-4abb-2c24-95ba-f6bd7a3aa0c5,2024-03-05 14:42:49.125351-05:00,2024-03-05 14:53:04.736432-05:00,6,13,3,11,0,68%,
QAXY,mammal_thylacine,block_04,3/5/2024,f74ac41e-4abb-2c24-95ba-f6bd7a3aa0c5,2024-03-05 14:42:49.125351-05:00,2024-03-05 14:53:04.736432-05:00,13,6,12,3,0,,
RQWE,reptile_gila,block_04,3/5/2024,f74ac41e-4abb-2c24-95ba-f6bd7a3aa0c5,2024-03-05 14:42:49.125351-05:00,2024-03-05 14:53:04.736432-05:00,7,12,3,9,0,,
TYDF,mammal_panda,block_04,3/5/2024,f74ac41e-4abb-2c24-95ba-f6bd7a3aa0c5,2024-03-05 14:42:49.125351-05:00,2024-03-05 14:53:04.736432-05:00,12,7,8,3,0,,
