subject_id,game_type,mean_workload,median_workload,cluster_labels
NMBV,task_switching,0.8814439720258371,0.9975676536560059,2
NMBV,working_memory,0.640711324213506,0.6364254355430603,2
NMJU,cognitive_baseline,0.4470465789688589,0.3965519070625305,2
NMJU,enumeration,0.6404614401706779,0.6122287511825562,2
NMJU,task_switching,0.7402654645269854,0.7795217931270599,2
NMJU,working_memory,0.6400834835153453,0.6442815661430359,2
NMKL,cognitive_baseline,0.4406110822311981,0.40972888469696045,2
NMKL,enumeration,0.6852523656981485,0.7274273037910461,2
NMKL,task_switching,0.8385772334411741,0.9554303586483002,2
NMKL,working_memory,0.5793051590025425,0.4946703314781189,2
NVBX,cognitive_baseline,0.4524873936385439,0.3836420178413391,3
NVBX,enumeration,0.4898421474416711,0.43892115354537964,3
NVBX,task_switching,0.46288267019894214,0.3929590582847595,3
NVBX,working_memory,0.5194127065786146,0.48222413659095764,3
OPKJ,cognitive_baseline,0.40280194420715515,0.3766794800758362,1
OPKJ,enumeration,0.4090566010110908,0.4052407890558243,1
OPKJ,task_switching,0.4831329147271115,0.4084608107805252,1
OPKJ,working_memory,0.4311194654564682,0.4165089577436447,1
PKJH,cognitive_baseline,0.4587893203361747,0.3985404968261719,1
PKJH,enumeration,0.7761092857191605,0.7801962792873383,1
PKJH,task_switching,0.4925657602229921,0.45856156945228577,1
PKJH,working_memory,0.6856224789402702,0.6923951506614685,1
PLMO,cognitive_baseline,0.4309453963253059,0.39421384036540985,2
PLMO,enumeration,0.572040624514337,0.5750364065170288,2
PLMO,task_switching,0.7964195674712505,0.8995694518089294,2
PLMO,working_memory,0.43434495272406615,0.350690633058548,2
PLRQ,cognitive_baseline,0.42099024711183197,0.32871314883232117,2
PLRQ,enumeration,0.7086695122998208,0.73417529463768,2
PLRQ,task_switching,0.6059947182302889,0.5822287797927856,2
PLRQ,working_memory,0.6927311847443288,0.7116473019123077,2
POIU,cognitive_baseline,0.41948051990328966,0.3665265738964081,3
POIU,enumeration,0.6281224284643009,0.64814293384552,3
POIU,task_switching,0.7448658937261304,0.7896071076393127,3
POIU,working_memory,0.6606830626402213,0.6468941271305084,3
QAXY,cognitive_baseline,0.3922599108311637,0.34386345744132996,1
QAXY,enumeration,0.6802987655003866,0.7463091909885406,1
QAXY,task_switching,0.32892173649219986,0.29602909088134766,1
QAXY,working_memory,0.4435092903235379,0.3506559878587723,1
QAZW,cognitive_baseline,0.4420836722682306,0.4354309141635895,2
QAZW,enumeration,0.8787542729604322,0.9762027859687805,2
QAZW,task_switching,0.6223158574150515,0.5646437704563141,2
QAZW,working_memory,0.8089029909158507,0.877778947353363,2
QPLM,cognitive_baseline,0.38776398866341033,0.37536798417568207,1
QPLM,enumeration,0.4788496680557728,0.42964713275432587,1
QPLM,task_switching,0.6925823671608856,0.7216154336929321,1
QPLM,working_memory,0.5101743875031053,0.5155712366104126,1
QPMN,cognitive_baseline,0.45330378476385513,0.460209459066391,3
QPMN,enumeration,0.8822340036190001,0.8984504342079163,3
QPMN,task_switching,0.6827953035835341,0.6873196959495544,3
QPMN,working_memory,0.846642368306408,0.8777576088905334,3
QPOI,cognitive_baseline,0.4627276447037576,0.42866407334804535,2
QPOI,enumeration,0.3712623486219094,0.33703216910362244,2
QPOI,task_switching,0.6553677160886336,0.6837361454963684,2
QPOI,working_memory,0.6998525723419359,0.7477357983589172,2
QWER,cognitive_baseline,0.44157685324297113,0.4046688973903656,3
QWER,enumeration,0.4740413363722675,0.42946308851242065,3
QWER,task_switching,0.6394056953184786,0.648413360118866,3
QWER,working_memory,0.4930540793570037,0.4828164875507355,3
QWRT,cognitive_baseline,0.43404327218349165,0.4125524163246155,3
QWRT,enumeration,0.4323997592357234,0.4088166356086731,3
QWRT,task_switching,0.5090799517375378,0.4534561038017273,3
QWRT,working_memory,0.5705900249734344,0.5076313018798828,3
QXZW,cognitive_baseline,0.4407358414506259,0.43863190710544586,1
QXZW,enumeration,0.6711715157773044,0.6970246136188507,1
QXZW,task_switching,0.5692714552588874,0.5183150172233582,1
QXZW,working_memory,0.6120331204535878,0.5399368405342102,1
REWQ,cognitive_baseline,0.4294815794896271,0.40152958035469055,2
REWQ,enumeration,0.622263526960985,0.6502325236797333,2
REWQ,task_switching,0.7665914518052134,0.823371171951294,2
REWQ,working_memory,0.6163867807716404,0.6144790649414062,2
RIQW,cognitive_baseline,0.4396594509482384,0.3769270330667496,2
RIQW,enumeration,0.9345627097172748,0.9580972194671631,2
RIQW,task_switching,0.5369081764407299,0.47349822521209717,2
RIQW,working_memory,0.7284416649002261,0.8219704031944275,2
RQWE,cognitive_baseline,0.4193666411094925,0.35126422345638275,2
RQWE,enumeration,0.7797398434690207,0.9202907085418701,2
RQWE,task_switching,0.8469869124006342,0.9634660482406616,2
RQWE,working_memory,0.5422228970109149,0.49079692363739014,2
RTGH,cognitive_baseline,0.424513841331198,0.41211971640586853,1
RTGH,enumeration,0.4916081807910512,0.431498646736145,1
RTGH,task_switching,0.4664224931684724,0.44222187995910645,1
RTGH,working_memory,0.6181004667697951,0.610960841178894,1
SBQRG,cognitive_baseline,0.4429208885467172,0.43324530124664307,1
SBQRG,enumeration,0.7967414457888186,0.8838280439376831,1
SBQRG,task_switching,0.47221165392772263,0.4158606231212616,1
SBQRG,working_memory,0.45805324564377464,0.378694623708725,1
SBTBT,cognitive_baseline,0.43362738465023515,0.3799326866865158,1
SBTBT,enumeration,0.446800047531724,0.3760647624731064,1
SBTBT,task_switching,0.5482132809631752,0.47062525153160095,1
SBTBT,working_memory,0.39492009056874644,0.31673434376716614,1
SHYXZ,cognitive_baseline,0.2660816576597946,0.2652091085910797,1
SHYXZ,enumeration,0.2697269646450877,0.2652091085910797,1
SHYXZ,task_switching,0.26669059478049906,0.2652091085910797,1
SHYXZ,working_memory,0.285644996712226,0.2822566628456116,1
SJWQP,cognitive_baseline,0.42444555143570306,0.4026702046394348,2
SJWQP,enumeration,0.7156975695954122,0.7900009155273438,2
SJWQP,task_switching,0.5775773794341245,0.514089822769165,2
SJWQP,working_memory,0.6438321472373918,0.620083212852478,2
SLMJK,cognitive_baseline,0.4409285467419424,0.3821006119251251,2
SLMJK,enumeration,0.8511517461914344,0.8701813817024231,2
SLMJK,task_switching,0.7495005698765025,0.7779500484466553,2
SLMJK,working_memory,0.6249400689536802,0.6689419150352478,2
SNMVN,cognitive_baseline,0.4387649088313705,0.41054007411003113,1
SNMVN,enumeration,0.3341527092595433,0.28235433995723724,1
SNMVN,task_switching,0.47406641363888824,0.4123861789703369,1
SNMVN,working_memory,0.4115006235460269,0.393783375620842,1
SPKZR,cognitive_baseline,0.3642570801259737,0.3139069974422455,1
SPKZR,enumeration,0.3174959809364441,0.2859204411506653,1
SPKZR,task_switching,0.4096999721045303,0.34652331471443176,1
SPKZR,working_memory,0.43972624222931395,0.38468553125858307,1
SRKLP,cognitive_baseline,0.47353475434439524,0.4723866879940033,1
SRKLP,enumeration,0.5403824661844883,0.5058679282665253,1
SRKLP,task_switching,0.6873110831222113,0.6680899262428284,1
SRKLP,working_memory,0.5720289352809498,0.5498010218143463,1
STWXJ,cognitive_baseline,0.4314027394994299,0.4160483479499817,3
STWXJ,enumeration,0.48647206362011364,0.42554405331611633,3
STWXJ,task_switching,0.6012993372759773,0.5920570492744446,3
